Reading /home/ssamal/workspace/conexpng/codings_1.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:64
No of concepts:8
	Completed reading 990 records
No of Objects: 1000
No of attributes: 64
No of concepts: 2080
Read time: 15119ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
-----------------------------------------------------------------------------------------------------------------------
 o1.0_74      {124}    [[0.09, 0.11, 0.11, 0.10, 0.13, 0.09, 0.04, 0.08, 0.08, 0.12]]    [[4.0]]      [1.0]
o0.0_484      {120}    [[0.10, 0.10, 0.15, 0.08, 0.05, 0.09, 0.10, 0.12, 0.05, 0.13]]    [[2.0]]      [0.0]
 o1.0_76      {112}    [[0.10, 0.10, 0.11, 0.13, 0.13, 0.08, 0.08, 0.06, 0.08, 0.08]]    [[3.0]]      [1.0]
 o1.0_78      {112}    [[0.10, 0.10, 0.11, 0.13, 0.13, 0.08, 0.08, 0.06, 0.08, 0.08]]    [[3.0]]      [1.0]
o0.0_482       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [0.0]
o9.0_865      {128}    [[0.12, 0.08, 0.10, 0.10, 0.11, 0.07, 0.06, 0.09, 0.10, 0.11]]    [[0.0]]      [9.0]
o7.0_330      {104}    [[0.12, 0.11, 0.07, 0.12, 0.10, 0.08, 0.05, 0.12, 0.08, 0.09]]    [[0.0]]      [7.0]
o9.0_862      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [9.0] _/
o7.0_332       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [7.0]
 o8.0_47       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [8.0]
o9.0_864      {128}    [[0.12, 0.08, 0.10, 0.10, 0.11, 0.07, 0.06, 0.09, 0.10, 0.11]]    [[0.0]]      [9.0]
o9.0_863      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [9.0] _/
 o8.0_49      {112}    [[0.10, 0.10, 0.11, 0.13, 0.13, 0.08, 0.08, 0.06, 0.08, 0.08]]    [[3.0]]      [8.0]
o1.0_904      {104}    [[0.05, 0.13, 0.10, 0.10, 0.14, 0.05, 0.06, 0.08, 0.08, 0.15]]    [[9.0]]      [1.0]
o1.0_902       {84}    [[0.05, 0.09, 0.16, 0.11, 0.13, 0.04, 0.11, 0.09, 0.10, 0.05]]    [[2.0]]      [1.0]
 o1.0_80      {148}    [[0.10, 0.10, 0.10, 0.04, 0.08, 0.13, 0.09, 0.06, 0.10, 0.16]]    [[9.0]]      [1.0]
o1.0_909      {120}    [[0.14, 0.11, 0.14, 0.09, 0.12, 0.08, 0.06, 0.05, 0.09, 0.09]]    [[0.0]]      [1.0]
o1.0_907      {104}    [[0.05, 0.13, 0.10, 0.10, 0.14, 0.05, 0.06, 0.08, 0.08, 0.15]]    [[9.0]]      [1.0]
 o1.0_83      {148}    [[0.10, 0.10, 0.10, 0.04, 0.08, 0.13, 0.09, 0.06, 0.10, 0.16]]    [[9.0]]      [1.0]
 o1.0_85      {112}    [[0.05, 0.14, 0.09, 0.05, 0.06, 0.13, 0.08, 0.16, 0.10, 0.10]]    [[7.0]]      [1.0]
 o1.0_86      {112}    [[0.05, 0.14, 0.09, 0.05, 0.06, 0.13, 0.08, 0.16, 0.10, 0.10]]    [[7.0]]      [1.0]
o4.0_600      {100}    [[0.09, 0.12, 0.10, 0.08, 0.10, 0.12, 0.06, 0.10, 0.06, 0.17]]    [[9.0]]      [4.0]
 o1.0_88       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [1.0]
o0.0_250       {76}    [[0.14, 0.07, 0.09, 0.07, 0.17, 0.13, 0.05, 0.03, 0.05, 0.15]]    [[4.0]]      [0.0]
o7.0_319      {132}    [[0.08, 0.12, 0.05, 0.09, 0.12, 0.10, 0.07, 0.08, 0.14, 0.11]]    [[8.0]]      [7.0]
o0.0_252      {120}    [[0.10, 0.10, 0.15, 0.08, 0.05, 0.09, 0.10, 0.12, 0.05, 0.13]]    [[2.0]]      [0.0]
o2.0_300       {88}    [[0.09, 0.12, 0.10, 0.09, 0.07, 0.05, 0.07, 0.12, 0.07, 0.17]]    [[9.0]]      [2.0]
