Reading /home/ssamal/workspace/conexpng/floating_codings100_1.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:64
No of concepts:325
	Completed reading 90 records
No of Objects: 100
No of attributes: 64
No of concepts: 2080
Read time: 1011ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
-----------------------------------------------------------------------------------------------------------------------
  o9.0_4       {12}    [[0.08, 0.08, 0.16, 0.00, 0.16, 0.08, 0.16, 0.00, 0.16, 0.08]]    [[2.0]]      [9.0]
 o6.0_28       {12}    [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]    [[4.0]]      [6.0]
 o1.0_71       {12}    [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]    [[4.0]]      [1.0]
 o0.0_66       {15}    [[0.20, 0.13, 0.06, 0.13, 0.06, 0.20, 0.06, 0.06, 0.06, 0.00]]    [[0.0]]      [0.0] _/
 o3.0_81       {11}    [[0.09, 0.00, 0.00, 0.18, 0.09, 0.00, 0.27, 0.09, 0.09, 0.18]]    [[6.0]]      [3.0]
 o3.0_82       {12}    [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]    [[4.0]]      [3.0]
 o1.0_75       {13}    [[0.07, 0.15, 0.00, 0.07, 0.15, 0.00, 0.00, 0.15, 0.38, 0.00]]    [[8.0]]      [1.0]
 o8.0_45       {12}    [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]    [[4.0]]      [8.0]
 o5.0_25       {12}    [[0.16, 0.33, 0.00, 0.00, 0.00, 0.08, 0.08, 0.16, 0.00, 0.16]]    [[1.0]]      [5.0]
 o4.0_96       {12}    [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]    [[4.0]]      [4.0] _/
  o7.0_6       {12}    [[0.16, 0.33, 0.00, 0.00, 0.00, 0.08, 0.08, 0.16, 0.00, 0.16]]    [[1.0]]      [7.0]
 o1.0_87       {13}    [[0.07, 0.53, 0.00, 0.00, 0.00, 0.07, 0.15, 0.15, 0.00, 0.00]]    [[1.0]]      [1.0] _/
 o1.0_89       {11}    [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]    [[2.0]]      [1.0]
 o6.0_32       {14}    [[0.21, 0.07, 0.07, 0.14, 0.14, 0.00, 0.07, 0.14, 0.14, 0.00]]    [[0.0]]      [6.0]
 o6.0_34       {14}    [[0.00, 0.07, 0.00, 0.35, 0.00, 0.14, 0.21, 0.07, 0.14, 0.00]]    [[3.0]]      [6.0]
 o8.0_54       {11}    [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]    [[2.0]]      [8.0]
 o8.0_52       {12}    [[0.08, 0.08, 0.16, 0.00, 0.16, 0.08, 0.16, 0.00, 0.16, 0.08]]    [[2.0]]      [8.0]
