Reading /home/ssamal/workspace/conexpng/floating_codings_1.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:64
No of concepts:386
	Completed reading 490 records
No of Objects: 500
No of attributes: 64
No of concepts: 2080
Read time: 5848ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
-----------------------------------------------------------------------------------------------------------------------
o0.0_488       {66}    [[0.24, 0.01, 0.15, 0.13, 0.04, 0.09, 0.10, 0.01, 0.07, 0.12]]    [[0.0]]      [0.0] _/
o0.0_367       {60}    [[0.16, 0.08, 0.10, 0.18, 0.15, 0.10, 0.03, 0.10, 0.03, 0.05]]    [[3.0]]      [0.0]
o5.0_381       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [5.0]
o0.0_487       {71}    [[0.05, 0.16, 0.08, 0.09, 0.11, 0.02, 0.07, 0.08, 0.12, 0.16]]    [[1.0]]      [0.0]
o0.0_480       {54}    [[0.14, 0.11, 0.05, 0.16, 0.18, 0.05, 0.11, 0.09, 0.03, 0.03]]    [[4.0]]      [0.0]
 o1.0_78       {66}    [[0.04, 0.10, 0.15, 0.16, 0.04, 0.12, 0.12, 0.06, 0.10, 0.07]]    [[3.0]]      [1.0]
o7.0_329       {81}    [[0.17, 0.08, 0.01, 0.07, 0.02, 0.04, 0.17, 0.17, 0.12, 0.11]]    [[0.0]]      [7.0]
o7.0_209       {60}    [[0.16, 0.08, 0.10, 0.18, 0.15, 0.10, 0.03, 0.10, 0.03, 0.05]]    [[3.0]]      [7.0]
o7.0_450       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [7.0]
 o8.0_41       {63}    [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]    [[8.0]]      [8.0] _/
o7.0_211       {71}    [[0.05, 0.16, 0.08, 0.09, 0.11, 0.02, 0.07, 0.08, 0.12, 0.16]]    [[1.0]]      [7.0]
