Reading /home/ssamal/workspace/conexpng/floating_codings_1.fccsv


***Reading first 10 records***
No of Objects:10
No of attributes:64
No of concepts:343
	Completed reading 90 records
No of Objects: 100
No of attributes: 64
No of concepts: 2076
Read time: 1069ms

-----------------------------------------------------------------------------------------------------------------------
  Object     Extent                                 Probabilities                                          Predicted    Actual
                Size       [0  , 1   , 2   , 3   , 4   , 5   , 6   , 7   , 8   , 9   ]                          Class      Class
-----------------------------------------------------------------------------------------------------------------------
 o6.0_24       {15}    [[0.00, 0.26, 0.06, 0.26, 0.00, 0.06, 0.06, 0.13, 0.00, 0.13]]    [[1.0]]      [6.0]
 o9.0_45        {9}    [[0.22, 0.11, 0.00, 0.11, 0.00, 0.33, 0.11, 0.00, 0.00, 0.11]]    [[5.0]]      [9.0]
 o3.0_88       {14}    [[0.00, 0.00, 0.00, 0.21, 0.21, 0.21, 0.14, 0.07, 0.07, 0.07]]    [[3.0]]      [3.0] _/
 o3.0_82       {13}    [[0.00, 0.07, 0.23, 0.30, 0.00, 0.15, 0.15, 0.07, 0.00, 0.00]]    [[3.0]]      [3.0] _/
 o3.0_80        {9}    [[0.22, 0.11, 0.00, 0.11, 0.00, 0.33, 0.11, 0.00, 0.00, 0.11]]    [[5.0]]      [3.0]
 o4.0_17       {10}    [[0.10, 0.10, 0.00, 0.20, 0.20, 0.00, 0.40, 0.00, 0.00, 0.00]]    [[6.0]]      [4.0]
 o7.0_38        {8}    [[0.12, 0.25, 0.00, 0.00, 0.12, 0.00, 0.00, 0.37, 0.12, 0.00]]    [[7.0]]      [7.0] _/
 o7.0_35       {12}    [[0.08, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00, 0.25, 0.08, 0.08]]    [[1.0]]      [7.0]
 o5.0_23       {13}    [[0.00, 0.07, 0.23, 0.30, 0.00, 0.15, 0.15, 0.07, 0.00, 0.00]]    [[3.0]]      [5.0]
 o0.0_77        {8}    [[0.25, 0.12, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.50, 0.00]]    [[8.0]]      [0.0]
 o6.0_30       {13}    [[0.00, 0.07, 0.23, 0.30, 0.00, 0.15, 0.15, 0.07, 0.00, 0.00]]    [[3.0]]      [6.0]
 o6.0_31        {8}    [[0.25, 0.12, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.50, 0.00]]    [[8.0]]      [6.0]
 o0.0_71        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o6.0_33       {13}    [[0.07, 0.00, 0.15, 0.00, 0.30, 0.15, 0.23, 0.07, 0.00, 0.00]]    [[4.0]]      [6.0]
 o5.0_96       {11}    [[0.00, 0.27, 0.00, 0.09, 0.00, 0.18, 0.00, 0.18, 0.27, 0.00]]    [[1.0]]      [5.0]
 o5.0_99       {12}    [[0.00, 0.16, 0.00, 0.08, 0.08, 0.33, 0.00, 0.08, 0.25, 0.00]]    [[5.0]]      [5.0] _/
 o4.0_89       {13}    [[0.15, 0.00, 0.07, 0.15, 0.15, 0.00, 0.15, 0.15, 0.07, 0.07]]    [[0.0]]      [4.0]
  o0.0_1       {10}    [[0.20, 0.10, 0.10, 0.10, 0.00, 0.10, 0.00, 0.10, 0.30, 0.00]]    [[8.0]]      [0.0]
 o5.0_15       {16}    [[0.12, 0.00, 0.00, 0.06, 0.06, 0.25, 0.31, 0.06, 0.06, 0.06]]    [[6.0]]      [5.0]
 o4.0_87       {11}    [[0.00, 0.09, 0.09, 0.00, 0.36, 0.00, 0.00, 0.36, 0.09, 0.00]]    [[4.0]]      [4.0] _/
 o2.0_13       {10}    [[0.20, 0.10, 0.10, 0.10, 0.00, 0.10, 0.00, 0.10, 0.30, 0.00]]    [[8.0]]      [2.0]
 o5.0_12       {17}    [[0.11, 0.23, 0.05, 0.00, 0.00, 0.29, 0.11, 0.00, 0.11, 0.05]]    [[5.0]]      [5.0] _/
 o2.0_98       {13}    [[0.00, 0.07, 0.07, 0.07, 0.15, 0.15, 0.07, 0.23, 0.15, 0.00]]    [[7.0]]      [2.0]
 o5.0_18       {13}    [[0.00, 0.07, 0.07, 0.07, 0.15, 0.15, 0.07, 0.23, 0.15, 0.00]]    [[7.0]]      [5.0]
 o5.0_16       {12}    [[0.00, 0.16, 0.00, 0.08, 0.08, 0.33, 0.00, 0.08, 0.25, 0.00]]    [[5.0]]      [5.0] _/
 o6.0_46       {10}    [[0.10, 0.10, 0.00, 0.20, 0.20, 0.00, 0.40, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o9.0_69       {14}    [[0.00, 0.00, 0.00, 0.21, 0.21, 0.21, 0.14, 0.07, 0.07, 0.07]]    [[3.0]]      [9.0]
 o9.0_65       {15}    [[0.00, 0.06, 0.06, 0.20, 0.00, 0.06, 0.00, 0.20, 0.06, 0.33]]    [[9.0]]      [9.0] _/
 o3.0_60       {11}    [[0.00, 0.27, 0.00, 0.09, 0.00, 0.18, 0.00, 0.18, 0.27, 0.00]]    [[1.0]]      [3.0]
 o1.0_10       {16}    [[0.00, 0.12, 0.00, 0.06, 0.18, 0.25, 0.12, 0.06, 0.12, 0.06]]    [[5.0]]      [1.0]
 o5.0_86        {9}    [[0.22, 0.11, 0.00, 0.11, 0.00, 0.33, 0.11, 0.00, 0.00, 0.11]]    [[5.0]]      [5.0] _/
 o8.0_68       {11}    [[0.00, 0.27, 0.00, 0.09, 0.00, 0.18, 0.00, 0.18, 0.27, 0.00]]    [[1.0]]      [8.0]
  o6.0_9       {10}    [[0.10, 0.10, 0.00, 0.20, 0.20, 0.00, 0.40, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o7.0_95       {10}    [[0.20, 0.10, 0.10, 0.10, 0.00, 0.10, 0.00, 0.10, 0.30, 0.00]]    [[8.0]]      [7.0]
 o2.0_64        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [2.0]
 o0.0_54        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o3.0_55       {13}    [[0.00, 0.07, 0.23, 0.30, 0.00, 0.15, 0.15, 0.07, 0.00, 0.00]]    [[3.0]]      [3.0] _/
  o6.0_5       {10}    [[0.10, 0.10, 0.00, 0.20, 0.20, 0.00, 0.40, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o1.0_22       {11}    [[0.00, 0.09, 0.09, 0.00, 0.36, 0.00, 0.00, 0.36, 0.09, 0.00]]    [[4.0]]      [1.0]
 o8.0_73        {8}    [[0.25, 0.12, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.50, 0.00]]    [[8.0]]      [8.0] _/
 o2.0_74       {10}    [[0.30, 0.00, 0.20, 0.20, 0.00, 0.10, 0.00, 0.20, 0.00, 0.00]]    [[0.0]]      [2.0]
 o4.0_27       {11}    [[0.00, 0.09, 0.09, 0.00, 0.36, 0.00, 0.00, 0.36, 0.09, 0.00]]    [[4.0]]      [4.0] _/
 o4.0_25       {13}    [[0.07, 0.00, 0.15, 0.00, 0.30, 0.15, 0.23, 0.07, 0.00, 0.00]]    [[4.0]]      [4.0] _/
 o5.0_79       {15}    [[0.06, 0.20, 0.00, 0.13, 0.13, 0.20, 0.20, 0.00, 0.06, 0.00]]    [[1.0]]      [5.0]
 o3.0_43       {12}    [[0.08, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00, 0.25, 0.08, 0.08]]    [[1.0]]      [3.0]
  o8.0_0       {11}    [[0.00, 0.27, 0.00, 0.09, 0.00, 0.18, 0.00, 0.18, 0.27, 0.00]]    [[1.0]]      [8.0]
 o1.0_32       {12}    [[0.08, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00, 0.25, 0.08, 0.08]]    [[1.0]]      [1.0] _/
 o6.0_66       {10}    [[0.10, 0.10, 0.00, 0.20, 0.20, 0.00, 0.40, 0.00, 0.00, 0.00]]    [[6.0]]      [6.0] _/
 o1.0_36       {11}    [[0.00, 0.27, 0.00, 0.09, 0.00, 0.18, 0.00, 0.18, 0.27, 0.00]]    [[1.0]]      [1.0] _/
 o4.0_58       {11}    [[0.00, 0.09, 0.09, 0.00, 0.36, 0.00, 0.00, 0.36, 0.09, 0.00]]    [[4.0]]      [4.0] _/
 o4.0_56        {8}    [[0.12, 0.25, 0.00, 0.00, 0.12, 0.00, 0.00, 0.37, 0.12, 0.00]]    [[7.0]]      [4.0]
 o7.0_78       {12}    [[0.00, 0.41, 0.00, 0.00, 0.16, 0.00, 0.00, 0.33, 0.08, 0.00]]    [[1.0]]      [7.0]
 o4.0_50       {13}    [[0.15, 0.00, 0.07, 0.15, 0.15, 0.00, 0.15, 0.15, 0.07, 0.07]]    [[0.0]]      [4.0]
 o2.0_44       {11}    [[0.00, 0.09, 0.09, 0.00, 0.36, 0.00, 0.00, 0.36, 0.09, 0.00]]    [[4.0]]      [2.0]
 o7.0_81        {8}    [[0.12, 0.25, 0.00, 0.00, 0.12, 0.00, 0.00, 0.37, 0.12, 0.00]]    [[7.0]]      [7.0] _/
 o3.0_39       {13}    [[0.15, 0.00, 0.07, 0.15, 0.15, 0.00, 0.15, 0.15, 0.07, 0.07]]    [[0.0]]      [3.0]
 o0.0_34        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o1.0_40       {10}    [[0.30, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.10, 0.30, 0.00]]    [[0.0]]      [1.0]
 o1.0_41        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [1.0]
 o8.0_90       {14}    [[0.00, 0.07, 0.14, 0.14, 0.00, 0.07, 0.07, 0.00, 0.42, 0.07]]    [[8.0]]      [8.0] _/
  o1.0_6       {11}    [[0.00, 0.27, 0.00, 0.09, 0.00, 0.18, 0.00, 0.18, 0.27, 0.00]]    [[1.0]]      [1.0] _/
 o6.0_72       {13}    [[0.07, 0.00, 0.15, 0.00, 0.30, 0.15, 0.23, 0.07, 0.00, 0.00]]    [[4.0]]      [6.0]
  o1.0_3        {8}    [[0.12, 0.25, 0.00, 0.00, 0.12, 0.00, 0.00, 0.37, 0.12, 0.00]]    [[7.0]]      [1.0]
  o1.0_4       {15}    [[0.00, 0.06, 0.06, 0.20, 0.00, 0.06, 0.00, 0.20, 0.06, 0.33]]    [[9.0]]      [1.0]
 o6.0_76       {14}    [[0.07, 0.00, 0.07, 0.14, 0.28, 0.21, 0.21, 0.00, 0.00, 0.00]]    [[4.0]]      [6.0]
 o8.0_94       {15}    [[0.06, 0.13, 0.13, 0.13, 0.06, 0.20, 0.00, 0.13, 0.13, 0.00]]    [[5.0]]      [8.0]
 o1.0_47       {10}    [[0.30, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.10, 0.30, 0.00]]    [[0.0]]      [1.0]
  o8.0_8        {8}    [[0.12, 0.25, 0.00, 0.00, 0.12, 0.00, 0.00, 0.37, 0.12, 0.00]]    [[7.0]]      [8.0]
 o2.0_51       {15}    [[0.06, 0.00, 0.06, 0.06, 0.20, 0.06, 0.26, 0.13, 0.13, 0.00]]    [[6.0]]      [2.0]
 o8.0_11        {8}    [[0.25, 0.12, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.50, 0.00]]    [[8.0]]      [8.0] _/
 o0.0_26        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o7.0_83       {10}    [[0.30, 0.00, 0.20, 0.20, 0.00, 0.10, 0.00, 0.20, 0.00, 0.00]]    [[0.0]]      [7.0]
 o8.0_19       {11}    [[0.00, 0.27, 0.00, 0.09, 0.00, 0.18, 0.00, 0.18, 0.27, 0.00]]    [[1.0]]      [8.0]
 o0.0_85        {8}    [[0.25, 0.12, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.50, 0.00]]    [[8.0]]      [0.0]
 o0.0_84        {7}    [[0.71, 0.14, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00]]    [[0.0]]      [0.0] _/
 o9.0_21       {15}    [[0.00, 0.06, 0.06, 0.20, 0.00, 0.06, 0.00, 0.20, 0.06, 0.33]]    [[9.0]]      [9.0] _/
 o1.0_59       {12}    [[0.08, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00, 0.25, 0.08, 0.08]]    [[1.0]]      [1.0] _/
  o3.0_7       {10}    [[0.10, 0.10, 0.00, 0.20, 0.20, 0.00, 0.40, 0.00, 0.00, 0.00]]    [[6.0]]      [3.0]
 o1.0_49        {9}    [[0.22, 0.11, 0.00, 0.11, 0.00, 0.33, 0.11, 0.00, 0.00, 0.11]]    [[5.0]]      [1.0]
 o8.0_20       {16}    [[0.06, 0.00, 0.12, 0.25, 0.00, 0.00, 0.00, 0.12, 0.25, 0.18]]    [[3.0]]      [8.0]
 o5.0_42        {9}    [[0.22, 0.11, 0.00, 0.11, 0.00, 0.33, 0.11, 0.00, 0.00, 0.11]]    [[5.0]]      [5.0] _/
  o3.0_2       {14}    [[0.07, 0.00, 0.07, 0.14, 0.28, 0.21, 0.21, 0.00, 0.00, 0.00]]    [[4.0]]      [3.0]
