Reading thesis/data/mnist2/binary_codings_1.fccsv
No of Objects: 100
No of attributes: 64
No of concepts: 2081

-----------------------------------------------------------------------------------------------------------------------
  Train/  Object     Extent                                 Probabilities  Predicted     Actual
   Test                Size              [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]      Class      Class
-----------------------------------------------------------------------------------------------------------------------
   train   o3_62       {11} [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]      [[6]]        [3]
    test   o2_14        {9} [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]      [[2]]        [2] _/
   train   o1_37       {13} [[0.23, 0.23, 0.07, 0.00, 0.15, 0.07, 0.00, 0.07, 0.15, 0.00]]      [[1]]        [1] _/
    test   o6_42        {9} [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]      [[2]]        [6]
   train   o3_50       {12} [[0.16, 0.00, 0.08, 0.25, 0.16, 0.16, 0.00, 0.08, 0.08, 0.00]]      [[3]]        [3] _/
   train   o3_51       {11} [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]      [[6]]        [3]
   train   o8_64       {11} [[0.09, 0.00, 0.00, 0.18, 0.09, 0.00, 0.27, 0.09, 0.09, 0.18]]      [[6]]        [8]
   train    o0_5       {12} [[0.25, 0.00, 0.00, 0.08, 0.16, 0.08, 0.08, 0.16, 0.00, 0.16]]      [[0]]        [0] _/
   train   o8_63       {13} [[0.23, 0.07, 0.00, 0.30, 0.07, 0.00, 0.07, 0.00, 0.23, 0.00]]      [[3]]        [8]
    test   o7_95        {9} [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]      [[2]]        [7]
   train   o1_31       {11} [[0.00, 0.27, 0.09, 0.09, 0.09, 0.00, 0.09, 0.27, 0.09, 0.00]]      [[7]]        [1]
    test    o0_9       {11} [[0.09, 0.00, 0.00, 0.18, 0.09, 0.00, 0.27, 0.09, 0.09, 0.18]]      [[6]]        [0]
   train    o8_0       {15} [[0.20, 0.26, 0.06, 0.13, 0.00, 0.06, 0.00, 0.13, 0.13, 0.00]]      [[1]]        [8]
    test   o4_24       {12} [[0.16, 0.00, 0.08, 0.25, 0.16, 0.16, 0.00, 0.08, 0.08, 0.00]]      [[3]]        [4]
   train   o3_57        {9} [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]      [[2]]        [3]
   train   o1_30       {11} [[0.00, 0.27, 0.09, 0.09, 0.09, 0.00, 0.09, 0.27, 0.09, 0.00]]      [[7]]        [1]
   train    o0_7       {10} [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]      [[3]]        [0]
   train   o5_77       {12} [[0.08, 0.00, 0.33, 0.08, 0.00, 0.08, 0.00, 0.08, 0.16, 0.16]]      [[2]]        [5]
    test   o0_66       {15} [[0.20, 0.13, 0.06, 0.13, 0.06, 0.20, 0.06, 0.06, 0.06, 0.00]]      [[5]]        [0]
   train   o8_69       {14} [[0.00, 0.28, 0.21, 0.00, 0.14, 0.00, 0.00, 0.14, 0.21, 0.00]]      [[1]]        [8]
   train    o8_2        {9} [[0.00, 0.00, 0.33, 0.11, 0.00, 0.11, 0.22, 0.11, 0.11, 0.00]]      [[2]]        [8]
    test   o1_27       {12} [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]      [[4]]        [1]
   train   o4_19       {14} [[0.07, 0.07, 0.00, 0.28, 0.14, 0.14, 0.07, 0.07, 0.07, 0.07]]      [[3]]        [4]
    test   o3_81       {11} [[0.09, 0.00, 0.00, 0.18, 0.09, 0.00, 0.27, 0.09, 0.09, 0.18]]      [[6]]        [3]
   train   o3_82       {12} [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]      [[4]]        [3]
   train   o7_44       {10} [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]      [[3]]        [7]
   train   o1_60       {12} [[0.16, 0.33, 0.00, 0.00, 0.00, 0.08, 0.08, 0.16, 0.00, 0.16]]      [[1]]        [1] _/
   train   o6_70       {11} [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]      [[6]]        [6] _/
   train   o8_93       {11} [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]      [[8]]        [8] _/
   train   o5_25       {12} [[0.25, 0.08, 0.00, 0.16, 0.16, 0.08, 0.16, 0.00, 0.00, 0.08]]      [[0]]        [5]
   train   o4_59       {11} [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]      [[8]]        [4]
    test   o6_79       {14} [[0.28, 0.28, 0.00, 0.00, 0.00, 0.14, 0.07, 0.14, 0.07, 0.00]]      [[1]]        [6]
   train   o8_16       {12} [[0.08, 0.08, 0.16, 0.00, 0.16, 0.08, 0.16, 0.00, 0.16, 0.08]]      [[8]]        [8] _/
    test   o0_99       {12} [[0.25, 0.00, 0.00, 0.08, 0.16, 0.08, 0.08, 0.16, 0.00, 0.16]]      [[0]]        [0] _/
   train   o4_53       {10} [[0.10, 0.00, 0.10, 0.30, 0.20, 0.00, 0.10, 0.20, 0.00, 0.00]]      [[3]]        [4]
   train   o0_98       {11} [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]      [[0]]        [0] _/
   train   o7_46       {11} [[0.00, 0.27, 0.09, 0.09, 0.09, 0.00, 0.09, 0.27, 0.09, 0.00]]      [[7]]        [7] _/
    test   o4_55       {12} [[0.08, 0.16, 0.08, 0.16, 0.25, 0.08, 0.08, 0.08, 0.00, 0.00]]      [[4]]        [4] _/
   train   o6_65       {11} [[0.00, 0.00, 0.00, 0.27, 0.09, 0.09, 0.27, 0.09, 0.00, 0.18]]      [[6]]        [6] _/
   train   o8_88       {11} [[0.00, 0.09, 0.27, 0.09, 0.09, 0.00, 0.18, 0.00, 0.27, 0.00]]      [[8]]        [8] _/
   train   o4_41       {12} [[0.25, 0.08, 0.00, 0.16, 0.16, 0.08, 0.16, 0.00, 0.00, 0.08]]      [[0]]        [4]
   train    o3_1       {11} [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]      [[0]]        [3]
    test   o0_85       {12} [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]      [[4]]        [0]
   train   o0_83       {11} [[0.27, 0.18, 0.00, 0.18, 0.00, 0.00, 0.09, 0.09, 0.00, 0.18]]      [[0]]        [0] _/
   train    o7_6       {12} [[0.16, 0.33, 0.00, 0.00, 0.00, 0.08, 0.08, 0.16, 0.00, 0.16]]      [[1]]        [7]
   train   o6_68       {15} [[0.00, 0.13, 0.00, 0.00, 0.26, 0.00, 0.26, 0.06, 0.13, 0.13]]      [[6]]        [6] _/
   train   o4_43       {12} [[0.16, 0.08, 0.00, 0.00, 0.33, 0.00, 0.00, 0.16, 0.08, 0.16]]      [[4]]        [4] _/
